YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
https://youtu.be/1LSdyeqefbw,confirmed,Ajit Jaokar,1,1,University of Oxford,Ajit Jaokar.png,https://www.linkedin.com/in/ajitjaokar/,,,,Prompt Engineering: Democratising learning of AI - experiences from the University of Oxford,,,"Ajit Jaokar is a Visiting Fellow at the University of Oxford and Course Director for AI Cloud and Edge implementations. A leading voice in applied AI, he combines academic research with real-world consulting, including work with the UK Ministry of Justice."
https://youtu.be/LQ8Lo5nD7eY,confirmed,Rohan Singh Rajput,1,1,Capital One,Rohan Singh Rajput.png,https://www.linkedin.com/in/rohan3/,,,,Prompt Based Recommendation Systems: A New Era of Personalized Experiences,"In the evolving digital landscape, recommendation systems are a critical component in driving customer engagement and satisfaction. With the advent of large language models (LLMs) like GPT-4, a new vista of possibilities has opened up, extending the capabilities of these systems. This session will delve into the intriguing confluence of LLMs and recommendation systems, revealing the future of personalized experiences.

The session will kick off with an introduction to LLMs, followed by an examination of their synergy with recommendation systems. We'll explore the advantages LLMs bring, such as superior context understanding, predictive accuracy, and rich, nuanced personalization. We'll also discuss the challenges, such as potential biases and resource requirements.

A highlight will be case studies, showcasing real-world applications of LLMs in recommendation systems and illustrating how businesses are leveraging this technology to revolutionize their customer engagement strategies.",,"Rohan Singh Rajput is a Senior Lead Machine Learning Engineer at Capital One, specializing in scalable ML systems, recommendation engines, and LLM-based platforms. He has over 7 years of experience building AI-driven products across multiple industries."
https://youtu.be/V7Z2ZQP-2HA,confirmed,Ayse Glass,1,1,HafenCity University Hamburg,Ayse Glass.png,https://www.linkedin.com/in/ayseglass/,,,,Generated Cities and Architecture,"Generating non-existing city concepts, materials and architectural design",,"Ayse Glass is an Interim Professor of AI and Digital Methods at HafenCity University Hamburg. Her work spans smart cities, computational design, and AI-driven urban systems, with a strong focus on generative design and simulation."
https://youtu.be/TADrrG6Fhjk,confirmed,The Prompt King,1,1,,The Prompt King.png,,,,,Better Prompting with Pseudocode,"In the rapidly-evolving landscape of AI, the way we interact with generative models significantly impacts their usefulness and the outcomes they produce. This session aims to shed light on a technique to streamline AI interactions: pseudocode prompting.

Natural language is great for simple prompts, but it often lacks the precision required for more complex or algorithmic interactions. Enter pseudocode, a simplified semi-formal language that can efficiently guide AI towards desired responses while following specific rules.

Through this session, we'll discuss:

* Principles of pseudocode prompting and how it improves reasoning performance over natural language prompts.
* Practical strategies and methods for generating and optimizing pseudocode prompts for various applications.
* How pseudocode prompts can reduce token usage by 20-30%, leading to decreased costs and faster responses.
* How pseudocode can democratize programming, making it accessible to a wider audience by allowing the specification of requirements as natural-language rules or constraints.
* Illustrate how structured pseudocode offers easier navigation and maintenance of complex prompts compared to natural language through scope blocks, indentation, and visual encapsulation.
* Enhancing Response Quality: Using structured templates and queries to minimize poorly-formed responses and reduce token usage.

This session will focus on the practical application of pseudocode in AI, making it highly suitable for those interested in deploying more efficient and robust AI applications.

Whether you are a seasoned data scientist, a developer looking for innovative ways to interact with AI models, or simply an AI enthusiast, this session will equip you with fresh insights and practical strategies for a more efficient AI prompting experience.",,
https://youtu.be/8ekor35KlxQ,confirmed,Rory Preddy,1,1,Microsoft,Rory Preddy.png,https://www.linkedin.com/in/rorypreddy/,,,,"Semantic Kernel: Teaching AI to Not Just Repeat, But Complete!","Get ready to supercharge your development with Semantic Kernel and Semantic Kernel Tools! This powerful SDK and extension for Visual Studio Code lets you mix conventional programming languages with the latest in Large Language Model AI to deliver delightful and intelligent experiences.
With SK, you can quickly and easily integrate AI capabilities into your applications without needing to train or fine-tune a model from scratch. And with SK's Skills, Memories, and Connectors, you'll have maximum flexibility to build new experiences that bring unparalleled productivity for your users.
Plus, with Semantic Kernel Tools, you'll be able to develop your own semantic skills faster and with greater ease. So, what are you waiting for? Join the AI revolution with Semantic Kernel and Semantic Kernel Tools today! ",,"Rory Preddy is a Principal AI Advocate at Microsoft with over 27 years of experience. A globally recognized speaker, he helps developers adopt cloud and AI technologies through engaging and practical education."
https://youtu.be/hC-28WmlZRk,confirmed,Eric Allen,1,1,Doxel,Eric Allen.png,https://www.linkedin.com/in/allenericr/,,,,Rapid Prototyping with AI,"ChatGPT can help you brainstorm. GitHub's Copilot can be a great rubber duck for your codebase. But, what if you want to build something new?

In this talk we'll explore how to leverage current tooling to explore open source models, quickly spin up a model with a persona and instructions, and even build out an MVP with the help of a bot empowered with the ability to write and execute code.

You'll learn about some exciting new tools as well as some tips and tricks for prototyping your next idea using language models.",,"Eric Allen is a full-stack software engineer specializing in applied AI and LLM systems. With 15+ years of experience, he has built and shipped products from early-stage startups to enterprise-scale platforms."
https://youtu.be/qtXONibuDY8,confirmed,Greg Nash,1,1,GET AI,Greg Nash.png,https://www.linkedin.com/in/gregnash78/,,,,Building complex data visualisations using ChatGPT: The power of Iterative Prompt Engineering,"Explore the frontier of data visualization in this session, where we merge the prowess of generative AI with the elegance of Vega-Lite in Microsoft Power BI. Witness the power of Iterative Prompt Engineering as we guide ChatGPT to craft intricate visuals from raw data. Delve into this innovative technique and discover a novel way to tell compelling data stories. Join us for a transformative look at the future of AI-driven data visualization.",,"Greg Nash is Director of Cloud & AI Platforms at GET AI and a Microsoft Data Platform MVP. He specializes in helping organizations turn data into actionable insights using Microsoft Fabric, Power BI, and Azure."
https://youtu.be/-dqIEkAK9Ac,confirmed,Jan Krans,1,1,Atos,Jan Krans.png,https://www.linkedin.com/in/jankrans/,,,,The Power of Prompting: Rocket Fuel for People with a Growth Mindset; Here's the Proof!,"In a world where generative AI is reshaping the boundaries of what's possible, the power of prompting emerges as the game-changer.

But can it truly be a seismic catalyst for those with a growth mindset?

This session provides the answer by delving deeper into the transformative journey of harnessing generative AI, not just as a tool, but as a partner in exploration, personal development, and growth.

Dive into a personal journey of rediscovery and innovation as we explore 'Mystical Fusion' Tarot system, not as an end product, but as a testament to the creative learning process: the challenges faced, the boundaries pushed, and the lessons learned.

From revisiting a decades-old idea with limited to no programming experience to the triumph of creating a tangible delivery of the project, it's a story of resilience, innovation, and the boundless possibilities that emerge when a growth mindset meets the right tools.

By the end of this journey, what was once a hypothesis before the experiment is now proven, culminating in a fully functional AI-powered Tarot app running on its own server in the cloud, a physical deck of 52 cards, a guiding e-book, and a website, all created during a 2 and a half week creative holiday break.

The proof has been delivered. The power of prompting is rocket fuel for people with a growth mindset. The only limitation is your own creativity and energy, or like Charlie Chaplin once said: ""Imagination is nothing without doing"".",,"Jan Krans is Global Chief Product Officer for Generative AI at Atos, with 25+ years of experience in digital transformation. He focuses on turning AI into measurable business value across enterprise organizations."
https://youtu.be/8y_osPPlzbw,confirmed,Alexander Holmeset,1,1,Sopra Steria,Alexander Holmeset.png,https://www.linkedin.com/in/alexander-holmeset-01447123/,,,,How can you use prompt engineering to debug PowerShell?,I will go through some simple steps that can help you improve how you debug issues in PowerShell. The methods can be applied to. other languages also. Can it also help you code more effectively?,,"Alexander Holmeset is Manager of Modern Work at Sopra Steria and a Microsoft AI and Teams MVP. He focuses on cloud, collaboration, and helping organizations adopt AI through strong data and platform foundations."
https://youtu.be/diO41g9cGxA,confirmed,Stephen Perin,2,1,Inetum,Stephen Perin.png,https://www.linkedin.com/in/stephenperin/,,,,Navigating the Evolution of Prompt Engineering,"A Journey through Diverse Patterns and Future Horizons in Generative AI: Prompt Engineering represents a rapidly evolving field within AI. The landscape of prompt patterns has become extensively documented and diversified, encompassing LLM reasoning approaches that span from one-shot to Chain-of-Thought and Tree-of-Thought prompting. In this session, our focus will delve into the evolutionary journey and the future prospects of prompt engineering. We will draw parallels with the historical progression of programming patterns and technologies, offering valuable insights and cross-domain learning opportunities. Join us to explore the dynamic realm of prompts and their role in shaping the landscape of Generative AI.",,"Stephen Perin is CTO for Integration & Outsourcing at Inetum France, with deep expertise in digital transformation, flow engineering, and generative AI. He advises organizations on IT strategy, innovation, and sustainable software delivery at scale."
