YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Alok Ranjan & Saurabh Suman,1,1,Dropbox & Accenture,Alok Ranjan & Saurabh Suman.png,https://www.linkedin.com/in/alok-g-ranjan/,https://www.linkedin.com/in/sumansaurabhpro/,,,Building a Production-Ready AI-Powered Chatbot Tutor with Hybrid RAG system,"In this talk, we dive deep into the development of a state-of-the-art AI-powered chatbot tutor using Retrieval-Augmented Generation (RAG) combined with fine-tuning and sophisticated prompt engineering techniques. We will explore a step-by-step guide starting from data collection and preparation, choosing and configuring models, to fine-tuning with domain-specific datasets, and iterative evaluation for performance optimization. Additionally, the session will cover the intricacies of prompt engineering, including dynamic adjustment, contextual prompt development, and bias mitigation to enhance the chatbot’s ability to deliver precise, engaging, and relevant educational interactions. Attendees will gain insights into building scalable and effective AI-driven tutoring solutions, focusing on leveraging RAG for contextual responses and continuous prompt optimization strategies.",,
,confirmed,Jorrik Klijnsma,1,1,Sopra Steria,Jorrik Klijnsma.png,https://www.linkedin.com/in/jorrik-klijnsma/,,,,A Large Language Model took me on vacation,"Imagine handing over your vacation planning to an AI. Sounds crazy, right? That's exactly what Jorrik did for his trip to Porto in Portugal. ChatGPT picked everything from restaurants to the sightseeing spots. But this trip taught Jorrik more than just how to order pastel de nata in Portuguese.

In this talk, you'll dive into different parallels between prompting engineering AI for travel tips and using it for coding and problem-solving. You'll learn why context is king in AI interactions and ways to provide it effectively. Jorrik will walk you through real examples from my AI-planned adventure, showing how each interaction unlocked new insights into advanced prompting techniques. Plus, he will introduce you to ""Indirect Conversation"" a new method he describes as ""pushing AI's creative boundaries"".

Integrating AI in applications is now everywhere to be found. And creating web applications, prompt engineering is set to become a crucial skill in our developers toolkit. The techniques you'll learn aren't just for planning vacations. They're the building blocks for creating smarter, more intuitive AI-powered tools. Whether you're designing chatbots, implementing AI-assisted search, or build the next-gen AI-driven web app, mastering these prompting skills will give you a significant benefit in creating a seamless user experience.

By the end of this session, you'll walk away with practical skills to supercharge your AI interactions, whether you're planning your next vacation or tackling complex coding challenges. You'll gain a fresh perspective on AI's capabilities and limitations, and you'll be equipped with strategies to get more innovative, useful responses from AI tools. Get ready for a session that's a bit of fun, part travelogue, mainly tech talk, and entirely eye-opening!",,
,confirmed,Johannes Kuhn & Maximilian Schattauer,1,1,Perelyn,Johannes Kuhn & Maximilian Schattauer.png,https://www.linkedin.com/in/johannes-kuhn-ai,https://www.linkedin.com/in/mschattauer/,,,Improving Retrieval Q&A Contextualization Prompts (using TextGrad),"We showcase the importance of good query contextualization in document retrieval Q&A scenarios with various industry examples. We present approaches to improve contextualization by prompt engineering with TextGrad and show how crucial these improvements are for delivering industry-grade chatbot solutions and customer satisfaction.

Background: When performing document retrieval in a Q&A/chatbot scenario, just using the last Q&A message, namely the current human inquiry, as a target might not yield good results. Often the context needed for retrieving relevant documents is spread out over several previous messages. Query contextualization helps by transforming a message history into a singular retrieval query including the relevant context. Main threats to the quality of the retrieval are missing context, a direct answer to the question, and follow-up questions back to the user in the contextualized query. These threats can be contained by a good choice of the contextualization model and a well-designed system prompt.",,
,confirmed,Koushik Sundar,1,1,Citibank,Koushik Sundar.png,https://www.linkedin.com/in/koushiksundar/,,,,Building a Production-Ready AI-Powered Chatbot Tutor with Hybrid RAG system,"In this talk, we dive deep into the development of a state-of-the-art AI-powered chatbot tutor using Retrieval-Augmented Generation (RAG) combined with fine-tuning and sophisticated prompt engineering techniques. We will explore a step-by-step guide starting from data collection and preparation, choosing and configuring models, to fine-tuning with domain-specific datasets, and iterative evaluation for performance optimization. Additionally, the session will cover the intricacies of prompt engineering, including dynamic adjustment, contextual prompt development, and bias mitigation to enhance the chatbot’s ability to deliver precise, engaging, and relevant educational interactions. Attendees will gain insights into building scalable and effective AI-driven tutoring solutions, focusing on leveraging RAG for contextual responses and continuous prompt optimization strategies.",,
,confirmed,Anastasia Podrabinek,1,1,Wix,Anastasia Podrabinek.png,https://www.linkedin.com/in/anastasia-podrabinek/,,,,Navigating Prompt Quality in Enterprise: Chaos Control Guide,"What if you have a few hundreds developers building their AI-based features all across a huge user-facing product? Sounds exciting but also a bit troubling: how is it possible to move fast without compromising security and quality standards of an enterprise?

During the past year, we’ve built a whole infrastructure for LLM-oriented development in Wix. As the industry was exploding with new models and techniques, this infrastructure grew to include a wide range of tools to make developer experience with AI really smooth. But then we’ve noticed something else: the easier it was to work with LLMs, the more difficult it was to make sure that the quality of LLM-based features stays high. That was the moment when we had to make a leap from AI democratisation to AI standardisation.

Building a whole infrastructure of prompt QA tools and arranging prompt engineering flows gave me some new insights about bringing AI to enterprise while ensuring a high standard of LLM feature implementation.

In this talk, I’ll take you through the AI Standartisation journey we took and share some practical ideas of improving prompt engineering standards across a big organisation. We’ll touch both technical solutions and educational approaches that can help in bringing enterprise prompt engineering standards to a higher level.",,
,confirmed,Daniela De Quevedo,1,1,NTT Data,Daniela De Quevedo.png,https://www.linkedin.com/in/danieladequevedo,,,,Maximizing the Potential of Foundation Models through Prompt Engineering,"Explore techniques to leverage capabilities of foundation models. Learn how prompt engineering enhances AI performance, enabling more accurate, context-aware, and tailored responses for diverse applications in natural language processing, sharing my experience as prompt engineer.",,
,confirmed,Alara Ozturk & Hilik Paz,1,1,Arato.ai,Alara Ozturk & Hilik Paz.png,https://www.linkedin.com/in/alara-o-299936106/,https://www.linkedin.com/in/hilikpaz/,,,Model-Based Input Validation for Preventing Prompt Injection Attacks,"As Large Language Models (LLMs) become increasingly integrated into various applications, the threat of prompt injection attacks has emerged as a significant security concern. This presentation introduces a novel model-based input validation approach to mitigate these attacks in LLM-integrated applications.

We present a meta-prompt methodology that acts as an intermediate validator, examining user inputs before they reach the LLM. Our approach builds on established input validation techniques, drawing parallels with traditional security measures like SQL injection prevention.

Throughout the presentation, we will discuss the challenges of input validation in LLM contexts and explore how our model-based approach provides a more flexible and adaptive solution. We'll share preliminary results from evaluations against established prompt injection datasets, highlighting the effectiveness of our methodology in detecting and mitigating various types of injection attempts.

Join us for an insightful exploration of this innovative approach to enhancing the security of LLM applications through advanced prompt engineering techniques, and learn how to implement robust input validation mechanisms to safeguard your AI-driven systems.",,
,confirmed,Jeroen Egelmeers,1,1,Sogeti,Jeroen Egelmeers.png,https://www.linkedin.com/in/jegelmeers/,,,,Words as weapons: The dark arts of Prompt Engineering,"With a ""Co-pilot for everything,"" our interaction with technology and daily tasks is evolving. Organizations are increasingly integrating LLMs into their applications, enhancing features like search tools, chatbots, and internal information systems.

Chances are, you're already working with Generative AI or will be soon. But are you aware of the risks before diving into use cases or development? Curiosity drives us to explore limits, which can lead to finding ways around ""Guard Rails."" These guard rails prevent misuse, like asking ChatGPT how to build a bomb. But what if clever wordplay confuses LLMs into bypassing these safeguards?

In ""The dark arts of Prompt Engineering,"" we'll explore Prompt Injections. We'll cover what Guard Rails are, how they function, and how to circumvent them using Prompt Injections—purely for educational purposes. Understanding these risks is crucial for knowing where to implement safeguards or reconsider actions. This session goes beyond tech details. It’s about real-life impacts. You'll see examples that will make you rethink AI's role in our lives. We'll also discuss the ethical aspect—how to use AI responsibly and safely. Plus, learn a fun trick: hide some ""words as weapons"" in your CV to trick recruiters!

As AI is here to stay, let's get secure and join this session!
Learn from the mistakes other companies have already made.
Don’t miss this important and eye-opening session!

",,
,confirmed,Aldan Creo,1,1,Accenture Labs,Aldan Creo.png,https://linkedin.com/in/acmcmc,,,,Can we evade AI-generated content detectors using prompt engineering?,"In this talk, we'll explore an intriguing question: can clever prompt engineering help us bypass AI-generated content detectors? We'll dive into the world of AI detection and briefly explain how these systems work. Then we'll go straight to the answer, using the latest scientific literature. Get ready for a fast-paced session that bridges the gap between prompt engineering and AI detection!",,
,confirmed,David Campbell,1,1,Scale Ai,David Campbell.png,https://www.linkedin.com/in/ddcam/,,,,Ignore Previous Instructions: Embracing AI Red Teaming,"In this talk, we will explore the journey of Red Teaming from its origins to its transformation into AI Red Teaming, highlighting its pivotal role in shaping the future of Large Language Models (LLMs) and beyond. Drawing from my firsthand experiences developing and deploying the largest generative red teaming platform to date, I will share insightful antidotes and real-world examples. We will explore how adversarial red teaming fortifies AI applications at every layer—protecting platforms, businesses, and consumers. This includes safeguarding the external application interface, reinforcing LLM guardrails, and enhancing the security of the LLMs' internal algorithms. Join me as we uncover the critical importance of adversarial strategies in securing the AI landscape.",,
